"Ticket ID","Ticket name","Pipeline","Ticket status","Create date","Priority","Ticket owner","Last activity date","Associated Company","Associated Company IDs"
"42872086548","Many 403 errors on Figma Tiles frames","Onboarding & Activation","Ready to Onboard","2026-03-03 10:48","","","2026-03-03 10:48","GlaxoSmithKline plc","50165069899"
"42187416436","Re: Complete data loss in page","Onboarding & Activation","Ready to Onboard","2026-02-20 10:30","","","2026-02-27 13:28","GlaxoSmithKline plc","50165069899"
"42043062329","Re: Could not upload image: ""Image upload failed (status 403)""","Onboarding & Activation","Ready to Onboard","2026-02-18 03:26","","","2026-02-23 18:17","GlaxoSmithKline plc","50165069899"
"41531742996","Question about analytics and usage metrics in Knapsack","Onboarding & Activation","Ready to Onboard","2026-02-12 03:58","","","2026-02-12 03:58","GlaxoSmithKline plc","50165069899"
"41075204154","Re: [Request received]","Onboarding & Activation","Ready to Onboard","2026-02-05 09:01","","","2026-02-12 13:49","GlaxoSmithKline plc","50165069899"
"1936772924","Implementation Planning Call","Onboarding & Activation","Complete","2023-09-27 12:29","","Jake Love","","GlaxoSmithKline plc","50165069899"
"1936772771","New Workspace Setup for GSK","Onboarding & Activation","In Progress","2023-09-27 12:27","","Jake Love","","GlaxoSmithKline plc","50165069899"
"1719281335","GSK - New Deal - Onboarding","Onboarding & Activation","Complete","2023-06-26 14:05","","Emily Dalphy","","GlaxoSmithKline plc","50165069899"
